,Valor,Último,Var. %,Var.,Ac. % año,Máx.,Mín.,Vol.,Capit.,Hora,Unnamed: 10
0,ACCIONA,182500,-119,-220,617,184400,179850,59.810,10.011,03/04,
1,ACCIONA ENER,35540,-62,-22,-166,36100,35140,274.684,11.702,03/04,
2,ACERINOX,9350,-131,-12,422,9520,9320,666.064,2.53,03/04,
3,ACS,29410,20,6,1178,29520,29150,481.303,8.357,03/04,
4,AENA,147350,-104,-155,2562,148850,145950,171.538,22.102,03/04,
5,AMADEUS IT GROUP,61440,-36,-22,2655,61580,60840,522.155,27.679,03/04,
6,ARCELORMITTAL,26810,-387,-108,903,27500,26805,339.646,23.534,03/04,
7,BANCO SABADELL,983,-59,-1,1160,1013,981,20.819.198,5.531,03/04,
8,BANKINTER,5272,88,5,-1441,5354,5210,2.901.695,4.739,03/04,
9,BBVA,6276,22,1,1140,6418,6272,13.273.752,40.083,03/04,
10,CAIXABANK,3608,67,2,-174,3659,3588,8.790.565,29.083,03/04,
11,CELLNEX TELECOM,35570,-53,-19,1504,36220,35290,735.785,24.164,03/04,
12,COLONIAL,5820,-9,0,-316,5910,5765,1.206.604,3.141,03/04,
13,ENAGAS,17735,20,3,1424,17860,17570,599.804,4.646,03/04,
14,ENDESA,19845,-78,-16,1253,20050,19590,977.840,21.011,03/04,
15,FERROVIAL,26940,-55,-15,1009,27140,26860,669.671,19.87,03/04,
16,FLUIDRA,15280,-562,-91,523,16290,15160,759.872,2.989,03/04,
17,GRIFOLS,9080,-31,-3,-1569,9250,9020,1.160.598,3.869,03/04,
18,IAG,1677,-224,-4,2060,1710,1665,10.789.495,8.337,03/04,
19,IBERDROLA,11360,-109,-12,565,11485,11180,9.236.306,73.231,03/04,
20,INDITEX,30390,-165,-51,2229,31090,30250,2.596.068,94.715,03/04,
21,INDRA,12450,0,0,1690,12510,12390,577.969,2.199,03/04,
22,LOGISTA,22860,-61,-14,65,23020,22640,167.845,3.035,03/04,
23,MAPFRE,1858,0,0,265,1872,1837,3.187.877,5.722,03/04,
24,MELIÁ HOTELS,5960,17,1,3019,6020,5900,841.327,1.314,03/04,
25,MERLIN PROP.,8065,6,0,-809,8170,8045,603.320,3.789,03/04,
26,NATURGY,27760,4,1,1419,28000,27400,268.180,26.916,03/04,
27,REDEIA,16230,19,3,141,16305,16050,1.212.940,8.782,03/04,
28,REPSOL,14425,169,24,-57,14710,14415,5.402.370,20.951,03/04,
29,ROVI,38580,26,10,699,38780,38080,107.241,2.084,03/04,
30,SACYR,2936,-81,-2,1540,2978,2912,1.654.673,1.957,03/04,
31,SANTANDER,3438,35,1,2268,3490,3425,23.441.078,56.569,03/04,
32,SOLARIA,16255,-211,-35,-505,16720,16015,356.203,2.031,03/04,
33,TELEFÓNICA,3997,60,2,1808,4013,3969,7.054.521,23.084,03/04,
34,UNICAJA BANCO,1000,121,1,-301,1014,985,7.355.960,2.655,03/04,
